380,128,410,124,411,137,381,141
212,140,318,128,321,152,214,163
461,115,490,113,491,129,462,131
433,122,461,118,462,130,434,134
153,254,206,252,207,271,153,273
411,123,432,121,433,135,412,137
162,448,215,449,215,468,162,467
1000,127,1024,124,1025,136,1001,138
1024,126,1062,122,1063,132,1025,136
936,165,998,161,999,184,937,188
1017,150,1048,149,1048,160,1017,162
1015,111,1045,110,1046,123,1015,124
164,350,202,351,202,368,164,368
1212,91,1241,88,1242,100,1213,104
322,135,380,128,380,141,323,149
1244,88,1263,86,1263,98,1244,100
1003,139,1060,134,1061,146,1003,151
