211,187,251,186,252,201,212,203
839,50,878,32,882,77,843,97
43,31,66,1,152,54,128,84
261,308,305,307,306,323,262,325
989,154,1027,150,1030,184,991,188
300,264,328,265,326,279,298,279
303,184,341,184,342,198,303,199
220,244,261,243,262,258,221,259
263,243,341,238,342,255,263,259
253,203,337,200,338,215,254,218
768,91,837,59,840,98,771,129
122,309,148,303,149,327,123,332
91,313,121,308,123,332,93,337
268,225,331,222,332,239,269,241
149,305,172,301,174,322,150,327
229,227,267,226,267,241,229,243
252,185,299,185,300,201,252,201
209,312,261,309,262,325,210,329
278,283,320,282,321,296,279,297
213,268,278,265,279,282,214,284
225,285,276,284,276,299,224,300
221,204,252,202,252,218,222,219
