366,661,383,678,351,719,335,704
417,0,431,22,386,114,372,90
359,463,367,490,283,559,275,531
232,169,377,140,382,218,232,248
700,317,735,314,736,324,700,327
707,358,758,355,758,365,707,367
528,185,577,181,578,198,528,202
509,52,557,46,559,64,510,71
692,242,725,239,725,249,692,252
435,668,455,656,448,697,427,709
783,454,810,453,811,464,784,465
152,0,158,9,111,52,104,38
42,105,48,127,4,176,0,153
731,140,761,138,762,149,732,151
348,281,372,271,375,285,351,294
287,331,308,322,311,337,290,345
347,302,351,316,314,336,309,322
727,238,759,236,760,246,727,248
311,297,323,306,292,323,279,313
552,352,599,349,600,365,552,368
762,234,789,233,790,244,762,246
71,69,83,85,50,125,38,108
542,276,589,273,589,290,542,293
718,458,772,455,773,466,718,469
335,325,347,337,306,366,294,355
321,292,349,280,351,296,323,307
420,605,453,620,446,664,413,649
424,411,427,439,364,484,361,457
701,252,763,246,764,256,702,262
630,576,662,572,663,597,631,601
697,4,727,2,728,12,698,14
154,138,171,163,113,240,97,215
