401,282,467,277,469,297,402,302
112,301,213,267,242,348,141,385
413,237,454,234,455,247,414,250
840,177,880,169,881,195,841,203
348,242,378,239,379,253,349,256
841,291,878,279,880,298,843,309
236,325,290,309,294,335,240,351
340,256,402,252,403,265,341,269
380,240,411,237,413,250,381,253
344,288,395,284,396,304,345,308
157,233,233,216,236,246,160,263
355,348,469,335,469,356,355,369
431,249,464,247,465,259,431,261
772,194,804,183,808,220,777,232
405,251,430,249,430,262,406,264
354,311,461,300,463,334,356,346
350,131,426,124,428,142,352,149
