210,129,321,135,321,167,210,160
93,76,180,82,180,121,93,115
92,257,162,253,162,266,92,270
95,376,189,365,190,381,96,393
93,269,138,267,139,280,94,282
94,341,168,333,169,348,95,356
134,222,191,223,191,238,134,237
139,266,182,264,183,278,140,280
226,90,357,101,357,136,225,126
101,531,150,519,152,534,103,546
195,460,216,470,153,491,134,480
170,333,234,328,235,342,171,348
183,264,222,263,223,277,184,279
90,187,179,189,179,205,90,202
100,483,132,477,133,490,101,496
281,402,341,393,342,407,282,417
91,224,132,223,132,237,91,238
156,439,191,433,193,448,157,455
167,299,226,296,227,310,168,314
94,305,135,302,135,316,94,318
97,413,138,407,139,422,98,428
154,405,192,399,193,414,155,420
297,369,372,358,372,373,297,384
99,449,155,440,156,455,100,464
96,119,204,125,203,161,94,155
