1068,481,1082,440,1277,496,1264,537
755,273,933,305,931,402,752,367
959,443,962,414,1073,447,1070,476
942,291,989,294,989,317,942,313
969,326,1022,331,1022,358,969,353
942,73,981,61,982,88,943,99
988,172,1072,164,1074,195,990,203
1025,332,1113,341,1112,371,1024,362
1015,86,1107,64,1109,96,1016,118
995,287,1080,296,1079,325,994,317
1012,53,1076,34,1077,63,1013,82
1166,299,1277,313,1278,345,1167,331
941,217,1015,214,1015,238,941,241
941,185,984,181,985,203,941,207
875,0,886,19,764,59,755,31
1117,199,1276,189,1275,226,1115,235
942,104,1009,93,1010,122,943,132
1021,206,1107,202,1107,235,1021,239
776,573,808,532,882,604,852,646
